,x,ref_sensor,s57,s20,s05,s34,s22,s06,s31,s36,s35
336,0.0,22,-39.0,-59.0,-69.0,,-40.0,-68.0,-73.0,,-80.0
337,0.0,22,-41.0,-54.0,-77.0,,-34.0,-73.0,,,-85.0
338,0.0,22,,,-69.0,,,,-74.0,,-73.0
339,0.0,22,-48.0,-61.0,,,-34.0,-65.0,,,
340,0.0,22,-41.0,,-69.0,,,-54.0,-68.0,-68.0,-63.0
341,0.0,22,-44.0,,-68.0,,,-54.0,-72.0,-65.0,
342,0.0,22,-48.0,-52.0,-60.0,-79.0,-44.0,-59.0,-73.0,-65.0,-64.0
343,0.0,22,-43.0,,,,-43.0,-56.0,-66.0,,
344,0.0,22,,-68.0,-75.0,,,-60.0,-79.0,-81.0,-83.0
345,0.0,22,-45.0,,-65.0,-76.0,-47.0,-56.0,-71.0,,-67.0
346,0.0,22,-50.0,,,-82.0,-45.0,,-79.0,-77.0,-83.0
347,0.0,22,,,,,-46.0,,,,
348,0.0,22,-44.0,-54.0,,,-41.0,-58.0,-69.0,-61.0,
349,0.0,22,-38.0,-62.0,-79.0,,-36.0,-66.0,-81.0,-81.0,
350,0.0,22,-44.0,-48.0,-66.0,-76.0,-54.0,-56.0,,-69.0,-66.0
351,0.0,22,-45.0,-67.0,-79.0,,-41.0,-66.0,-80.0,,-75.0
352,0.0,22,-48.0,-64.0,,,-53.0,-61.0,-74.0,,
