,x,ref_sensor,s57,s20,s54,s05,s34,s22,s06,s31,s36,s35
206,0.0,22,,-62.0,,,,-51.0,-56.0,,-75.0,-68.0
207,0.0,22,-66.0,-54.0,-72.0,,,,,-80.0,,-82.0
208,0.0,22,-60.0,-65.0,,-68.0,,-47.0,-76.0,-78.0,,-67.0
209,0.0,22,,,-54.0,-69.0,,-49.0,-60.0,-68.0,,
210,0.0,22,-55.0,-64.0,,,,-51.0,-55.0,,,
211,0.0,22,-46.0,-58.0,-64.0,-60.0,,-54.0,-63.0,-69.0,-70.0,
212,0.0,22,-62.0,-70.0,-64.0,-70.0,-86.0,-51.0,-63.0,-72.0,-82.0,-67.0
213,0.0,22,-59.0,-63.0,-68.0,,,-53.0,-60.0,-69.0,-80.0,-67.0
214,0.0,22,-47.0,-46.0,-61.0,-67.0,,-44.0,-54.0,,-79.0,-71.0
215,0.0,22,-52.0,,-65.0,-70.0,,-47.0,-64.0,-78.0,,-71.0
216,0.0,22,-49.0,-52.0,-62.0,-71.0,,-44.0,-55.0,-69.0,-71.0,-64.0
217,0.0,22,-46.0,-51.0,,-80.0,,-38.0,,-79.0,-74.0,
218,0.0,22,,-63.0,,,,-48.0,-65.0,,,
219,0.0,22,-50.0,,-72.0,-76.0,,-31.0,-59.0,-73.0,-76.0,-72.0
220,0.0,22,,-69.0,-63.0,-62.0,-79.0,,-61.0,-80.0,-72.0,-71.0
221,0.0,22,-60.0,-63.0,-64.0,-65.0,,-50.0,-68.0,-77.0,,-73.0
222,0.0,22,,-57.0,-54.0,-64.0,,-52.0,,-75.0,,-71.0
223,0.0,22,-60.0,,-54.0,-60.0,-72.0,-45.0,,-77.0,-71.0,-65.0
224,0.0,22,-66.0,-62.0,-64.0,,-79.0,-48.0,-63.0,,,-69.0
225,0.0,22,-73.0,-51.0,-64.0,-70.0,,-48.0,-56.0,-76.0,-70.0,-72.0
226,0.0,22,-47.0,-58.0,-62.0,-67.0,-73.0,-46.0,-57.0,-76.0,-76.0,-69.0
227,0.0,22,,-49.0,-71.0,,-75.0,-46.0,-57.0,-79.0,-75.0,-77.0
228,0.0,22,-52.0,-47.0,-65.0,-73.0,-73.0,-52.0,-55.0,-72.0,-72.0,
229,0.0,22,,,,-69.0,-82.0,,-59.0,-69.0,-87.0,-73.0
230,0.0,22,,-50.0,-58.0,-67.0,-76.0,-49.0,-58.0,-76.0,-69.0,
231,0.0,22,-54.0,-53.0,-62.0,-73.0,,-51.0,-64.0,-74.0,-76.0,-74.0
232,0.0,22,-65.0,-59.0,-66.0,-74.0,-81.0,-46.0,-59.0,-75.0,-72.0,-85.0
233,0.0,22,-53.0,,,-62.0,-79.0,-43.0,-56.0,,-70.0,-64.0
234,0.0,22,,,-55.0,-67.0,,-42.0,-56.0,-70.0,-74.0,-68.0
235,0.0,22,,-54.0,-55.0,-62.0,-73.0,-62.0,-54.0,-75.0,-76.0,-65.0
236,0.0,22,,-60.0,,,,-45.0,-55.0,,,-80.0
237,0.0,22,-70.0,-58.0,-59.0,-66.0,-77.0,-54.0,,,,
238,0.0,22,,,-62.0,-66.0,-71.0,-45.0,-58.0,-74.0,,
239,0.0,22,-61.0,-66.0,-61.0,-66.0,,-46.0,-63.0,-73.0,-81.0,-75.0
240,0.0,22,-57.0,-59.0,-50.0,-68.0,-75.0,,,-70.0,-80.0,-68.0
241,0.0,22,-51.0,-48.0,,-72.0,,-43.0,,,-84.0,-67.0
242,0.0,22,-56.0,-69.0,,-68.0,-73.0,-45.0,,-75.0,-81.0,-70.0
243,0.0,22,,,,-70.0,-79.0,-55.0,,-74.0,-76.0,-67.0
244,0.0,22,-45.0,-57.0,-61.0,-79.0,-78.0,-44.0,-58.0,-74.0,-77.0,-79.0
245,0.0,22,-47.0,-63.0,-63.0,-70.0,-75.0,-43.0,-63.0,-67.0,-70.0,-63.0
246,0.0,22,-55.0,-64.0,,-76.0,,-55.0,,-78.0,-79.0,-72.0
247,0.0,22,-41.0,,-66.0,-69.0,-71.0,-52.0,,-75.0,-74.0,-76.0
248,0.0,22,-48.0,-52.0,-53.0,-58.0,-76.0,-59.0,-59.0,-78.0,-69.0,-63.0
249,0.0,22,-63.0,-64.0,-66.0,,,,,,,-79.0
250,0.0,22,-40.0,-48.0,-75.0,,,-42.0,-59.0,-75.0,-78.0,-79.0
251,0.0,22,-40.0,-54.0,-65.0,,,-44.0,-61.0,-75.0,-71.0,-73.0
252,0.0,22,-58.0,-54.0,-61.0,-73.0,,-34.0,-59.0,-75.0,-78.0,-75.0
253,0.0,22,-40.0,-49.0,-60.0,-67.0,,-51.0,,-71.0,-72.0,
254,0.0,22,,,-56.0,-64.0,,-47.0,-63.0,-72.0,-69.0,
